対象年月,種別,区名,増減種別,異動内容,性別,値
202401,外国人,全市,社会増減,その他の減,合計,74
202401,外国人,西区,社会増減,その他の増,女,0
202401,外国人,灘区,社会増減,その他の減,合計,9
202401,外国人,東灘区,社会増減,その他の減,合計,6
202401,外国人,長田区,社会増減,その他の増,女,1
202401,外国人,北区,社会増減,その他の増,女,0
202401,外国人,垂水区,社会増減,その他の増,女,2
202401,外国人,須磨区,社会増減,その他の増,女,0
202401,外国人,垂水区,社会増減,その他の減,合計,2
202401,外国人,須磨区,社会増減,その他の減,合計,2
202401,外国人,全市,社会増減,その他の減,男,39
202401,外国人,西区,社会増減,その他の減,合計,6
202401,外国人,兵庫区,社会増減,その他の減,合計,11
202401,外国人,中央区,社会増減,その他の減,合計,23
202401,外国人,長田区,社会増減,その他の減,合計,11
202401,外国人,北区,社会増減,その他の減,合計,4
202401,外国人,兵庫区,社会増減,その他の増,女,1
202401,外国人,中央区,社会増減,その他の増,男,5
202401,外国人,灘区,社会増減,その他の増,男,2
202401,外国人,北区,社会増減,その他の増,男,0
202401,外国人,兵庫区,社会増減,その他の増,男,0
202401,外国人,西区,社会増減,その他の増,合計,1
202401,外国人,垂水区,社会増減,その他の増,合計,3
202401,外国人,東灘区,社会増減,その他の増,男,3
202401,外国人,全市,社会増減,その他の増,男,14
202401,外国人,東灘区,社会増減,その他の増,女,5
202401,外国人,全市,社会増減,その他の増,女,17
202401,外国人,中央区,社会増減,その他の増,女,5
202401,外国人,灘区,社会増減,その他の増,女,3
202401,外国人,須磨区,社会増減,その他の増,男,1
202401,外国人,長田区,社会増減,その他の増,男,1
202401,外国人,西区,社会増減,その他の増,男,1
202401,外国人,垂水区,社会増減,その他の増,男,1
202401,外国人,東灘区,社会増減,その他の減,男,2
202401,外国人,兵庫区,社会増減,増減　①,合計,31
202401,外国人,中央区,社会増減,増減　①,合計,29
202401,外国人,長田区,社会増減,増減　①,合計,-19
202401,外国人,北区,社会増減,増減　①,合計,68
202401,外国人,全市,社会増減,増減　①,合計,112
202401,外国人,西区,社会増減,その他の減,女,5
202401,外国人,灘区,社会増減,増減　①,合計,-2
202401,外国人,東灘区,社会増減,増減　①,合計,25
202401,外国人,灘区,社会増減,増減　①,男,-4
202401,外国人,東灘区,社会増減,増減　①,男,17
202401,外国人,兵庫区,社会増減,増減　①,男,11
202401,外国人,中央区,社会増減,増減　①,男,43
202401,外国人,垂水区,社会増減,増減　①,合計,10
202401,外国人,須磨区,社会増減,増減　①,合計,-5
202401,外国人,全市,社会増減,増減　①,男,53
202401,外国人,西区,社会増減,増減　①,合計,-25
202401,外国人,垂水区,社会増減,その他の減,女,1
202401,外国人,須磨区,社会増減,その他の減,男,2
202401,外国人,長田区,社会増減,その他の減,男,6
202401,外国人,西区,社会増減,その他の減,男,1
202401,外国人,垂水区,社会増減,その他の減,男,1
202401,外国人,中央区,社会増減,その他の減,男,14
202401,外国人,灘区,社会増減,その他の減,男,6
202401,外国人,北区,社会増減,その他の減,男,1
202401,外国人,兵庫区,社会増減,その他の減,男,6
202401,外国人,北区,社会増減,その他の減,女,3
202401,外国人,兵庫区,社会増減,その他の減,女,5
202401,外国人,須磨区,社会増減,その他の減,女,0
202401,外国人,長田区,社会増減,その他の減,女,5
202401,外国人,東灘区,社会増減,その他の減,女,4
202401,外国人,全市,社会増減,その他の減,女,35
202401,外国人,中央区,社会増減,その他の減,女,9
202401,外国人,灘区,社会増減,その他の減,女,3
202401,外国人,須磨区,社会増減,その他の増,合計,1
202401,外国人,灘区,社会増減,転入,女,25
202401,外国人,東灘区,社会増減,転入,女,53
202401,外国人,兵庫区,社会増減,転入,女,61
202401,外国人,中央区,社会増減,転入,女,82
202401,外国人,垂水区,社会増減,転入,男,23
202401,外国人,須磨区,社会増減,転入,男,9
202401,外国人,全市,社会増減,転入,女,391
202401,外国人,西区,社会増減,転入,男,37
202401,外国人,全市,社会増減,転出,合計,667
202401,外国人,西区,社会増減,転入,女,22
202401,外国人,灘区,社会増減,転出,合計,49
202401,外国人,東灘区,社会増減,転出,合計,103
202401,外国人,長田区,社会増減,転入,女,35
202401,外国人,北区,社会増減,転入,女,85
202401,外国人,垂水区,社会増減,転入,女,19
202401,外国人,須磨区,社会増減,転入,女,9
202401,外国人,長田区,社会増減,転入,男,43
202401,外国人,北区,社会増減,転入,合計,114
202401,外国人,兵庫区,社会増減,転入,合計,125
202401,外国人,須磨区,社会増減,転入,合計,18
202401,外国人,長田区,社会増減,転入,合計,78
202401,外国人,東灘区,社会増減,転入,合計,126
202401,外国人,全市,社会増減,転入,合計,822
202401,外国人,中央区,社会増減,転入,合計,209
202401,外国人,灘区,社会増減,転入,合計,51
202401,外国人,中央区,社会増減,転入,男,127
202401,外国人,灘区,社会増減,転入,男,26
202401,外国人,北区,社会増減,転入,男,29
202401,外国人,兵庫区,社会増減,転入,男,64
202401,外国人,西区,社会増減,転入,合計,59
202401,外国人,垂水区,社会増減,転入,合計,42
202401,外国人,東灘区,社会増減,転入,男,73
202401,外国人,全市,社会増減,転入,男,431
202401,外国人,中央区,社会増減,転出,合計,167
202401,外国人,長田区,社会増減,転出,女,39
